feature,mean_abs_shap
TransactionAmt,0.8719832
C13,0.5720526
fe_log_amount,0.5405456
fe_hour_sin,0.43932953
fe_hour_cos,0.40037802
C14,0.34021178
C1,0.33062512
fe_card1_secs_since_prev,0.2937252
fe_card1_count_last_1h,0.2819409
fe_card1_count_so_far,0.28025025
V317,0.2543742
C11,0.22692665
D1,0.21603307
card6,0.20197448
fe_P_emaildomain_amt_mean,0.19569743
V70,0.19390364
fe_card1_addr1_amt_mean,0.19167197
fe_hour,0.1847107
card1,0.18387423
fe_card1_P_emaildomain_amt_count,0.17986844
C2,0.1788833
M4,0.1743322
D15,0.17351852
fe_amount_decimal,0.16776651
fe_dayofweek,0.16731147
